n,Time (s)
1000,0.000567618
2000,0.001257912
3000,0.002228635
4000,0.002762233
5000,0.003502179
6000,0.004451682
7000,0.005131744
8000,0.005965707
9000,0.006736615
10000,0.00766924
20000,0.01647096
30000,0.027612739
40000,0.037544031
50000,0.045721911
60000,0.056248912
70000,0.06604114
80000,0.07672616
90000,0.09505565
100000,0.109158723
200000,0.214997412
300000,0.329560643
400000,0.45314225
500000,0.572583641
600000,0.69586711
700000,0.821277191
800000,0.951248567
900000,1.089210542
1000000,1.206412235
